task number,"optimization level","size of expression (no. of atoms = operands + operators)","execution time: wall clock time (s)",cpu alloted (%)
1,"-O1","10000","0.01",92
1,"-O1","100000","0.53",97
1,"-O3","100000","0.49",98
2,"-O1","10000","0.03",100
2,"-O1","100000","0.35",93
2,"-O3","100000","0.33",87
3,"-O1","10000","0.02",96
3,"-O1","100000","0.48",96
3,"-O3","100000","0.46",97
4,"-O1","10000","0.11",97
4,"-O1","100000","0.46",98
4,"-O3","100000","0.47",85
5,"-O1","10000","0.02",10
5,"-O1","100000","0.78",5
5,"-O3","100000","0.47",6